deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,state
8972,0.090332031,0.048828125,1.332519531,-2.593994141,-0.122070313,2.990722656,-117.3328171,-117.1692657,0
8977,0.08984375,0.049804688,1.331054688,-2.593994141,-0.152587891,2.838134766,-117.3328171,-117.1692657,0
8982,0.087890625,0.047363281,1.33203125,-2.593994141,-0.213623047,2.807617188,-117.3328171,-117.1692657,0
8987,0.087890625,0.048339844,1.332519531,-2.593994141,-0.213623047,2.746582031,-117.3328171,-117.1692657,0
8992,0.087402344,0.049804688,1.330566406,-2.593994141,-0.274658203,2.655029297,-117.2746887,-117.1692657,0
9006,0.087402344,0.048828125,1.333496094,-2.532958984,-0.152587891,2.563476563,-117.2746887,-117.1692657,0
9011,0.086425781,0.047851563,1.33203125,-2.532958984,-0.183105469,2.593994141,-117.2746887,-117.1692657,0
9016,0.084960938,0.048339844,1.331542969,-2.532958984,-0.213623047,2.532958984,-117.2746887,-117.1692657,0
9021,0.084960938,0.048339844,1.331542969,-2.593994141,-0.183105469,2.563476563,-117.2746887,-117.1692657,0
9026,0.086914063,0.048339844,1.331542969,-2.593994141,-0.122070313,2.624511719,-117.2746887,-117.1692657,0
9031,0.0859375,0.048828125,1.33203125,-2.624511719,-0.213623047,2.502441406,-117.3539505,-117.1692657,0
9049,0.086914063,0.05078125,1.328613281,-2.593994141,-0.244140625,2.471923828,-117.3539505,-117.1692657,0
9054,0.088867188,0.05078125,1.328125,-2.593994141,-0.183105469,2.502441406,-117.3539505,-117.1692657,0
9059,0.090332031,0.048828125,1.330078125,-2.563476563,-0.213623047,2.502441406,-117.3539505,-117.1692657,0
9064,0.090332031,0.05078125,1.330566406,-2.593994141,-0.213623047,2.593994141,-117.4860687,-117.1692657,0
9089,0.08984375,0.051757813,1.3359375,-2.563476563,-0.183105469,2.593994141,-117.4860687,-117.1692657,0
9094,0.088378906,0.05078125,1.333984375,-2.624511719,-0.152587891,2.685546875,-117.4860687,-117.1692657,0
9099,0.086914063,0.049804688,1.333496094,-2.624511719,-0.183105469,2.716064453,-117.2324066,-117.1692657,0
9112,0.088378906,0.049804688,1.329589844,-2.563476563,-0.183105469,2.960205078,-117.0315933,-117.1692657,0
9129,0.086425781,0.048339844,1.33203125,-2.685546875,-0.152587891,3.082275391,-117.0315933,-117.1692657,0
9135,0.087890625,0.049316406,1.33203125,-2.563476563,-0.122070313,3.082275391,-117.3750916,-117.1692657,0
9149,0.08984375,0.048828125,1.333496094,-2.624511719,-0.274658203,3.112792969,-117.3750916,-117.1692657,0
9154,0.089355469,0.050292969,1.331054688,-2.532958984,-0.274658203,3.082275391,-117.3750916,-117.1692657,0
