deviceTime,aCoord[x],aCoord[y],aCoord[z],gCoord[x],gCoord[y],gCoord[z],altPress,altMax,count,isOn
7873,-0.021972656,0.047851563,1.195800781,0.244140625,-2.838134766,8.117675781,175.7481995,176.0705566,0,1
7894,0.013183594,0.037597656,1.195800781,0.122070313,-3.479003906,6.622314453,175.7481995,176.0705566,0,1
7899,0.022949219,0.036132813,1.196777344,0.183105469,-3.387451172,5.432128906,175.7481995,176.0705566,0,1
7904,0.030761719,0.034667969,1.196777344,0.091552734,-3.295898438,4.486083984,175.7481995,176.0705566,0,1
7909,0.030273438,0.03125,1.194824219,-0.030517578,-3.112792969,3.753662109,175.9173126,176.0705566,0,1
7916,0.004882813,0.029785156,1.196289063,-0.122070313,-2.990722656,3.295898438,175.9173126,176.0705566,0,1
7921,-0.009277344,0.032714844,1.193847656,-0.152587891,-2.990722656,3.326416016,175.9173126,176.0705566,0,1
7926,-0.017089844,0.031738281,1.200195313,-0.061035156,-3.143310547,3.936767578,175.9173126,176.0705566,0,1
7931,-0.013671875,0.025390625,1.200683594,-0.061035156,-3.326416016,4.39453125,175.9173126,176.0705566,0,1
7937,-0.004394531,0.020507813,1.198242188,-0.030517578,-3.509521484,4.608154297,175.9173126,176.0705566,0,1
7942,0.013671875,0.016601563,1.198730469,-0.061035156,-3.601074219,4.425048828,176.081131,176.081131,0,1
7947,0.037109375,0.011230469,1.195800781,0.122070313,-3.601074219,3.723144531,176.081131,176.081131,0,1
7952,0.0625,0.013671875,1.198242188,0.457763672,-3.570556641,2.777099609,176.081131,176.081131,0,1
7959,0.086425781,0.026855469,1.197753906,0.885009766,-2.899169922,1.251220703,176.081131,176.081131,0,1
7964,0.081054688,0.030761719,1.197265625,0.946044922,-2.380371094,0.732421875,176.081131,176.081131,0,1
7969,0.075683594,0.035644531,1.1953125,0.946044922,-1.953125,0.823974609,176.081131,176.081131,0,1
7974,0.072753906,0.040527344,1.196777344,0.885009766,-1.46484375,1.037597656,176.081131,176.081131,0,1
7980,0.060546875,0.047851563,1.196777344,0.946044922,-1.037597656,1.586914063,175.9358063,176.081131,0,1
7985,0.045410156,0.047363281,1.196777344,0.915527344,-0.701904297,2.105712891,175.9358063,176.081131,0,1
7990,0.029785156,0.046386719,1.1953125,0.762939453,-0.579833984,2.258300781,175.9358063,176.081131,0,1
7995,0.005371094,0.047363281,1.194335938,0.732421875,-0.48828125,2.471923828,175.9358063,176.081131,0,1
8012,-0.021972656,0.036132813,1.198730469,0.457763672,-0.701904297,2.227783203,175.996582,176.081131,0,1
8017,-0.017578125,0.029785156,1.197753906,0.549316406,-0.854492188,2.166748047,175.996582,176.081131,0,1
8022,-0.004882813,0.025878906,1.19921875,0.610351563,-1.251220703,1.831054688,175.996582,176.081131,0,1
8027,0.008789063,0.020507813,1.201660156,0.732421875,-1.403808594,1.190185547,175.996582,176.081131,0,1
8037,0.044433594,0.004394531,1.200195313,1.007080078,-1.495361328,-0.48828125,175.996582,176.081131,0,1
8042,0.053710938,-0.001953125,1.198730469,1.342773438,-1.312255859,-1.556396484,175.996582,176.081131,0,1
8047,0.05078125,-0.004882813,1.1953125,1.617431641,-1.098632813,-2.166748047,175.996582,176.081131,0,1
8052,0.043457031,-0.004394531,1.196777344,1.831054688,-0.854492188,-2.258300781,175.5975952,176.081131,0,1
8057,0.034667969,-0.003417969,1.195800781,2.014160156,-0.579833984,-1.892089844,175.5975952,176.081131,0,1
8062,0.021484375,-0.000488281,1.193847656,2.227783203,-0.396728516,-1.007080078,175.5975952,176.081131,0,1
8067,0.007324219,-0.000488281,1.198242188,2.380371094,-0.213623047,0.122070313,175.5975952,176.081131,0,1
8072,-0.008300781,-0.002441406,1.198730469,2.563476563,-0.183105469,1.373291016,175.5975952,176.081131,0,1
8077,-0.02734375,0.001464844,1.200683594,2.716064453,-0.335693359,2.655029297,175.5975952,176.081131,0,1
8082,-0.042480469,0.008300781,1.201171875,2.838134766,-0.366210938,3.784179688,175.5975952,176.081131,0,1
8087,-0.048828125,0.010742188,1.203125,3.021240234,-0.610351563,4.486083984,175.7059326,176.081131,0,1
8092,-0.040527344,0.01171875,1.200195313,3.204345703,-1.129150391,4.943847656,175.7059326,176.081131,0,1
8099,-0.004394531,0.021972656,1.202636719,3.479003906,-1.800537109,4.547119141,175.7059326,176.081131,0,1
8104,0.013671875,0.032226563,1.199707031,3.631591797,-1.892089844,3.631591797,175.7059326,176.081131,0,1
8110,0.037597656,0.044921875,1.197753906,3.90625,-1.953125,2.471923828,175.7059326,176.081131,0,1
8115,0.055175781,0.060546875,1.196777344,4.058837891,-1.861572266,1.495361328,175.7059326,176.081131,0,1
8132,0.08984375,0.087890625,1.195800781,3.845214844,-1.159667969,-0.396728516,175.8036957,176.081131,0,1
8137,0.090332031,0.090820313,1.189941406,3.601074219,-0.701904297,-1.190185547,175.8036957,176.081131,0,1
8142,0.085449219,0.092285156,1.19140625,3.204345703,-0.061035156,-2.014160156,175.8036957,176.081131,0,1
8147,0.076660156,0.094238281,1.190429688,2.807617188,0.549316406,-2.716064453,175.8036957,176.081131,0,1
8155,0.033691406,0.092285156,1.195800781,2.227783203,1.068115234,-3.41796875,175.7455597,176.081131,0,1
8160,0.013671875,0.093261719,1.196777344,1.892089844,1.129150391,-3.234863281,175.7455597,176.081131,0,1
8165,-0.000488281,0.09375,1.193847656,1.586914063,1.251220703,-2.593994141,175.7455597,176.081131,0,1
8170,-0.009277344,0.09375,1.191894531,1.220703125,1.190185547,-1.831054688,175.7455597,176.081131,0,1
8177,-0.012207031,0.092773438,1.195800781,0.946044922,0.946044922,-0.915527344,175.7455597,176.081131,0,1
8182,-0.011230469,0.095703125,1.196289063,0.732421875,0.854492188,-0.152587891,175.7455597,176.081131,0,1
8187,-0.004882813,0.096679688,1.196777344,0.610351563,0.762939453,0.457763672,175.7455597,176.081131,0,1
8192,-0.000488281,0.094726563,1.197753906,0.457763672,0.762939453,0.793457031,175.8671112,176.081131,0,1
8198,0.0078125,0.095214844,1.1953125,0.122070313,0.671386719,0.762939453,175.8671112,176.081131,0,1
8203,0.017089844,0.095703125,1.199707031,-0.183105469,0.48828125,0.366210938,175.8671112,176.081131,0,1
8208,0.028808594,0.097167969,1.200195313,-0.366210938,0.427246094,-0.457763672,175.8671112,176.081131,0,1
8213,0.041503906,0.1015625,1.198242188,-0.48828125,0.366210938,-1.770019531,175.8671112,176.081131,0,1
8220,0.04296875,0.127441406,1.196777344,-0.701904297,0.48828125,-4.364013672,175.8671112,176.081131,0,1
8225,0.038574219,0.133300781,1.194824219,-1.159667969,0.701904297,-5.401611328,175.927887,176.081131,0,1
8230,0.034179688,0.131835938,1.194335938,-1.678466797,0.915527344,-6.103515625,175.9939423,176.081131,0,1
8235,0.028320313,0.121582031,1.193359375,-2.410888672,1.007080078,-6.317138672,175.9939423,176.081131,0,1
8253,0.015136719,0.05078125,1.192871094,-3.90625,1.46484375,-3.234863281,175.9939423,176.081131,0,1
8258,0.009765625,0.037597656,1.196777344,-3.90625,1.46484375,-3.234863281,175.9939423,176.081131,0,1
8263,0.002441406,0.034667969,1.19921875,-3.662109375,1.586914063,-2.349853516,175.8829651,176.081131,0,1
8268,-0.011230469,0.029785156,1.199707031,-3.448486328,1.556396484,-1.312255859,175.8829651,176.081131,0,1
8275,-0.037109375,0.020996094,1.198730469,-3.265380859,1.220703125,0.061035156,175.8829651,176.081131,0,1
8281,-0.045898438,0.017089844,1.198242188,-3.112792969,1.068115234,0.48828125,175.8829651,176.081131,0,1
8286,-0.052246094,0.01171875,1.199707031,-2.9296875,0.701904297,0.793457031,175.8829651,176.081131,0,1
8291,-0.053222656,0.007324219,1.19921875,-2.716064453,0.396728516,0.854492188,175.8829651,176.081131,0,1
8299,-0.045410156,0.0078125,1.200683594,-2.288818359,-0.305175781,0.671386719,175.7799072,176.081131,0,1
8304,-0.03515625,0.006347656,1.201660156,-2.044677734,-0.671386719,0.427246094,175.7799072,176.081131,0,1
8309,-0.025390625,0.009765625,1.200683594,-1.770019531,-0.946044922,-0.244140625,175.7799072,176.081131,0,1
8314,-0.016601563,0.014160156,1.201171875,-1.46484375,-1.312255859,-0.9765625,175.7799072,176.081131,0,1
8320,0.002929688,0.023925781,1.19921875,-1.251220703,-1.403808594,-2.044677734,175.7799072,176.081131,0,1
8325,0.008300781,0.025878906,1.195800781,-1.220703125,-1.342773438,-2.990722656,175.7799072,176.081131,0,1
8330,0.013671875,0.03125,1.195800781,-1.281738281,-1.281738281,-3.570556641,175.7799072,176.081131,0,1
8335,0.015136719,0.034667969,1.194824219,-1.342773438,-1.251220703,-4.211425781,176.0177155,176.081131,0,1
